Total,| 3742|26237,|11153,| 1616,|42748,,|  170| 1785,|  737,|,65,| 2757,,|45505
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
AVERAGE AGE,|  19.95  |  30.23  |  45.07  |  60.64  |  34.35,,,,,|  19.98  |  31.42  |  44.73  |  59.86  |  34.94,,,,,,|  34.38
"",|,|,|,|,|,|,|,|,|,|,|,
Percent reported,|,100.0|,100.0|,100.0|,100.0|,100.0 |,100.0|,100.0|,100.0|,100.0|,100.0 |,100.0
"",|,|,|,|,|,|,|,|,|,|,|,
"",|,|,|,|,|,|,|,|,|,|,|,
NOT REPORTED,|,0|,0|,0|,0|,0|,0|,0|,0|,0|,0|,0
WHITE MALE,| 1007  27| 7960  30| 4310  39|  915  57|14192  33 |,00|,0,0|,0,0|,,00|,0,0 |14192  31,
NON WHITE MALE,| 2735  73|18277  70| 6843  61|  701  43|28556  67 |,00|,0,0|,0,0|,,00|,0,0 |28556  63,
WHITE FEMALE,|00|00|00|00|00 |,75  44|  757  42|  303  41|,,,,,,37  57| 1172  43 | 1172,,,3
NON WHITE FEMALE,|00|00|00|00|00 |,95  56| 1028  58|  434  59|,,,,,,28  43| 1585  57 | 1585,,,3
Total,| 3742|26237,|11153,| 1616,|42748,,|  170| 1785,|  737,|,65,| 2757,,|45505
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
AVERAGE IQ,| 100.64  | 100.05  |  96.19  |  93.76  |  98.88,,,,,|  98.65  |  93.45  |  84.64  |  79.11  |  91.05,,,,,,|  98.40
"",|,|,|,|,|,|,|,|,|,|,|
Percent reported,|95.2|,95.5|,94.0|,91.2|,94.9 |,,92.4|,95.1|,95.9|,93.8|95.1 |,94.9
"",|,|,|,|,|,|,|,|,|,|,|
"",|,|,|,|,|,|,|,|,|,|,|
NOT REPORTED,|  180,| 1170,|  674,|  142,| 2166,|,13|,87|,30|,4|  134,| 2300
"",|,|,|,|,|,|,|,|,|,|,|
Percent reported,|91.8|,96.0|,95.5|,,94.4|95.4 |,,96.5|,97.5|,98.2|,95.4|,97.6 |95.5
"",|,|,|,|,|,|,|,|,|,|,|
"",|,|,|,|,|,|,|,|,|,|,|
NOT RPTD,|  308,| 1062,|  501,|,91| 1962,|,6|,44|,13|,3|,66| 2028
WELFARE,|  2868| 1966,8|  701,7|,80,5| 3033,7 |,,30  18|  288  17|76  10|,,12|  395  15 | 3428,8
OCC EMPLOY,|  3229| 2151,9|  530,5|,44,3| 3047,7 |,,11|111|41|,,23|181 | 3065,7
