Total,| 3053,|26465,|12459,| 2122,|44099,|  168,| 1895,| 1006,|,84,| 3153,|47252
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,|,|,
Percent reported,|,100.0|,100.0|,100.0|,100.0|,100.0 |,100.0|,100.0|,100.0|,100.0|,100.0 |,100.0
"",|,|,|,|,|,|,|,|,|,|,|,
"",|,|,|,|,|,|,|,|,|,|,|,
NOT REPORTED,|,0|,0|,0|,0|,0|,0|,0|,0|,0|,0|,0
Total,| 3053,|26465,|12459,| 2122,|44099,|  168,| 1895,| 1006,|,84,| 3153,|47252
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,|,|,
Percent reported,|,87.3|,91.6|,91.0|,89.0|,91.0 |,86.9|,90.9|,92.7|,86.9|,91.2 |,91.0
"",|,|,|,|,|,|,|,|,|,|,|,
"",|,|,|,|,|,|,|,|,|,|,|,
"",|,|,|,|,|,|,|,|,|,|,|
Percent reported,|94.6|,96.8|,96.4|,,96.4|96.5 |,,98.8|,98.3|,98.4|,94.0|,98.3 |96.6
"",|,|,|,|,|,|,|,|,|,|,|
"",|,|,|,|,|,|,|,|,|,|,|
NOT RPTD,|  166,|  839,|  450,|,76| 1531,|,2|,32|,16|,5|,55| 1586
WELFARE,|  332  11| 20218|  860,7|  115,6| 3328,8 |,,19  11|  247  13|93,9|,,11|  360  12 | 3688,8
OCC EMPLOY,|  2248| 18227|  539,4|55,3| 2640,6 |,,21|50|6,1|,,23|150 | 2655,6
MINIMUM STD,| 1308  45|11113  43| 5211  43|  970  47|18602  44 |,,,,,44  27|  558  30|  360  36|,,,42  53| 1004  32 |19606  43,
MIDDLE,|  961  33|10403  41| 5286  44|  888  43|17538  41 |,,,,,98  59| 1020  55|  520  53|,,,30  38| 1668  54 |19206  42,
OTHER,|622|  2671|  113,1|18,1|  460,1 |,,32|332|11,1|,,45|512 |  511,1
"",|,|,|,|,|,|,|,|,|,|,|,
Percent reported,|,96.4|,97.8|,97.2|,97.3|,97.5 |,98.2|,98.4|,98.8|,94.0|,98.4 |,97.5
"",|,|,|,|,|,|,|,|,|,|,|,
"",|,|,|,|,|,|,|,|,|,|,|,
GRADE 8|  425  14| 23709| 1064,9|  233  11| 4092  10 |,,17  11|  179  10|74,8|,,68|  2769 | 4368,9
GRADE 9|  728  25| 4283  17| 1551  13|  202  10| 6764  16 |,,,29  18|  265  15|  105  11|,,,34|  402  13 | 7166  16,
