Total,| 3365|26718,|12057,| 1920,|44060,,|  160| 1973,|  923,|,83,| 3139,,|47199
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
AVERAGE AGE,|  19.94  |  30.10  |  45.20  |  60.44  |  34.78,,,,,|  19.99  |  31.16  |  44.68  |  59.96  |  35.33,,,,,,|  34.82
"",|,|,|,|,|,|,|,|,|,|,|,
Percent reported,|,100.0|,100.0|,100.0|,100.0|,100.0 |,100.0|,100.0|,100.0|,100.0|,100.0 |,100.0
"",|,|,|,|,|,|,|,|,|,|,|,
"",|,|,|,|,|,|,|,|,|,|,|,
NOT REPORTED,|,0|,0|,0|,0|,0|,0|,0|,0|,0|,0|,0
WHITE MALE,|  958  28| 8364  31| 4708  39| 1083  56|15113  34 |,00|,0,0|,0,0|,,00|,0,0 |15113  32,
NON WHITE MALE,| 2407  72|18354  69| 7349  61|  837  44|28947  66 |,00|,0,0|,0,0|,,00|,0,0 |28947  61,
WHITE FEMALE,|00|00|00|00|00 |,71  44|  861  44|  409  44|,,,,,,44  53| 1385  44 | 1385,,,3
NON WHITE FEMALE,|00|00|00|00|00 |,89  56| 1112  56|  514  56|,,,,,,39  47| 1754  56 | 1754,,,4
Total,| 3365|26718,|12057,| 1920,|44060,,|  160| 1973,|  923,|,83,| 3139,,|47199
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
AVERAGE IQ,|  99.60  | 100.12  |  96.22  |  94.48  |  98.79,,,,,|  98.55  |  95.45  |  85.55  |  77.83  |  92.24,,,,,,|  98.37
Total reported,| 3159 100|25466 100|11312 100| 1713 100|41650 100 |  143 100| 1817 100|  845 100|,76 100| 2881 100 |44531 100
"",|||||||||,||
Percent reported,|93.9|95.3|93.8|89.2|94.5 |89.4|92.1|91.5|,91.6|91.8 |94.3
"",|||||||||,||
"",|||||||||,||
NOT REPORTED,|  206| 1252|  745|  207| 2410|17|  156|78|,7|  258| 2668
"",|,|,|,|,|,|,|,|,|,|,|
Percent reported,|93.6|,97.0|,96.8|,,95.6|96.6 |,,98.8|,98.7|,98.5|,95.2|,98.6 |96.8
"",|,|,|,|,|,|,|,|,|,|,|
"",|,|,|,|,|,|,|,|,|,|,|
NOT RPTD,|  214,|  799,|  387,|,84| 1484,|,2|,25|,14|,4|,45| 1529
WELFARE,|  331  11| 21048|  826,7|,95,5| 3356,8 |,,24  15|  277  14|98  11|,,00|  399  13 | 3755,8
OCC EMPLOY,|  2498| 19297|  534,5|,49,3| 2761,6 |,,00|111|51|,,11|171 | 2778,6
MINIMUM STD,| 1433  45|10968  42| 5073  43|  882  48|18356  43 |,,,,,,46  29|  567  29|  333  37|,,47  59|  993  32 |19349  42,
MIDDLE,| 1089  35|10697  41| 5148  44|  797  43|17731  42 |,,,,,,85  54| 1045  54|  452  50|,,28  35| 1610  52 |19341  42,
OTHER,|492|  2211|89,1|,13,1|  372,1 |,,32|482|212|,,34|752 |  447,1
RURAL/FARM|37,1|  565,2|  686,6|  309  17| 1597,4 |,,11|,47,2|,46,5|,,14  18|  1083 | 1705,4
