5000,,,,,,,,
"","21,203",,,,,,,
"",(45%),,,,,,,
0000,,,,,,,,
5000,,,,,,,,
"",,,"10,114",,,,,
"",,,(21%),,,,,
0000,,,,,,,,
"",,,,,,,"6,383",
"",,,,,,,(14%),
"",,,,"3,776","3,408",,,
5000,,,,(8%),(7%),,,"1,810"
"",,224,,,,349,,(4%)
"",,(<1%),,,,(1%),,
Total,| 3250,|26571,|12286,| 2090,|44197,|  171,| 1904,|  994,|,84,| 3153,|47350
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,|,|,
Percent reported,|,100.0|,100.0|,100.0|,100.0|,100.0 |,100.0|,100.0|,100.0|,100.0|,100.0 |,100.0
"",|,|,|,|,|,|,|,|,|,|,|,
"",|,|,|,|,|,|,|,|,|,|,|,
NOT REPORTED,|,0|,0|,0|,0|,0|,0|,0|,0|,0|,0|,0
Total,| 3250,|26571,|12286,| 2090,|44197,|  171,| 1904,|  994,|,84,| 3153,|47350
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,|,|,
Percent reported,|,86.6|,92.1|,91.4|,88.5|,91.3 |,88.3|,92.1|,93.5|,88.1|,92.2 |,91.4
"",|,|,|,|,|,|,|,|,|,|,|,
"",|,|,|,|,|,|,|,|,|,|,|,
"",|,|,|,|,|,|,|,|,|,|,|
Percent reported,|95.1|,97.0|,96.8|,,96.1|96.8 |,,94.7|,97.0|,97.4|,95.2|,97.0 |96.8
"",|,|,|,|,|,|,|,|,|,|,|
"",|,|,|,|,|,|,|,|,|,|,|
NOT RPTD,|  159,|  798,|  397,|,82| 1436,|,9|,57|,26|,4|,96| 1532
"",|,|,|,|,|,|,|,|,|,|,|
Percent reported,|,97.1|98.0|,97.6|,,97.2|97.8 |,,94.2|,97.0|,97.7|,95.2|,97.0 |97.7
"",|,|,|,|,|,|,|,|,|,|,|
"",|,|,|,|,|,|,|,|,|,|,|
NOT RPTD,|,94|  541,|  299,|,58|  992,|,10|,58|,23|,4|,95| 1087
Total,| 3250,|26571,|12286,| 2090,|44197,|  171,| 1904,|  994,|,84,| 3153,|47350
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
"",|,|,|,|,|,|,|,|,|,,|,|
LESS THAN GRADE 7|52,2|  559,2|  436,4|  343  17| 1390,3 |,,11|,24,1|,212|,,,12  15|58,2 | 1448,3
GRADE 7|88,3|  581,2|  347,3|  1527| 1168,3 |,,21|,41,2|,253|,,,56|73,2 | 1241,3
GRADE 8|  445  14| 2310,,9| 1060,9|  229  11| 4044,9 |,,19  12|  160,,9|,778|,,,68|  262,9 | 4306,9
GRADE 9|  810  26| 4288  16| 1542  13|  198  10| 6838  16 |,,,,,,32  20|  259  14|,,,96  10|,,,34|  390  13 | 7228  16,,
GRADE 10|  852  27| 5883  23| 2021  17|  201  10| 8957  21 |,,,,,,40  25|  302  17|  128  13|,,,,,,11  14|  481  16 | 9438  20,,
GRADE 11|  681  22| 5317  20| 1634  14|  165,,,8| 7797  18 |,,,45  28|  313  17|  103  11|,,,,,,56|  466  16 | 8263  18,,
GRADE 12|  184,6| 4782  18| 2979  25|  404  20| 8349  19 |,,,,,96|  265  15|  218  23|,,,,,,20  25|  512  17 | 8861  19,,
