Total,| 3534|26413,|11595,| 1799,|43341,,|  161| 1858,|  801,|,80,| 2900,,|46241
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
AVERAGE AGE,|  19.95  |  30.14  |  45.14  |  60.47  |  34.58,,,,,|  20.07  |  31.15  |  44.64  |  59.55  |  35.04,,,,,,|  34.61
"",|,|,|,|,|,|,|,|,|,|,|,
Percent reported,|,100.0|,100.0|,100.0|,100.0|,100.0 |,100.0|,100.0|,100.0|,100.0|,100.0 |,100.0
"",|,|,|,|,|,|,|,|,|,|,|,
"",|,|,|,|,|,|,|,|,|,|,|,
NOT REPORTED,|,0|,0|,0|,0|,0|,0|,0|,0|,0|,0|,0
WHITE MALE,|  964  27| 8034  30| 4491  39| 1018  57|14507  33 |,00|,0,0|,0,0|,,00|,0,0 |14507  31,
NON WHITE MALE,| 2570  73|18379  70| 7104  61|  781  43|28834  67 |,00|,0,0|,0,0|,,00|,0,0 |28834  62,
WHITE FEMALE,|00|00|00|00|00 |,74  46|  800  43|  340  42|,,,,,,41  51| 1255  43 | 1255,,,3
NON WHITE FEMALE,|00|00|00|00|00 |,87  54| 1058  57|  461  58|,,,,,,39  49| 1645  57 | 1645,,,4
Total,| 3534|26413,|11595,| 1799,|43341,,|  161| 1858,|  801,|,80,| 2900,,|46241
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
"",||,|,|,|,,||,|,|,,|,,|
AVERAGE IQ,| 100.05  | 100.04  |  96.18  |  94.11  |  98.78,,,,,|  99.23  |  94.82  |  85.60  |  76.08  |  92.01,,,,,,|  98.37
Total reported,| 3413 100|25377 100|10998 100| 1630 100|41418 100 |  149 100| 1750 100|  754 100|,72 100| 2725 100 |44143 100
"",|||||||||,||
Percent reported,|96.6|96.1|94.9|90.6|95.6 |92.5|94.2|94.1|,90.0|94.0 |95.5
"",|||||||||,||
"",|||||||||,||
NOT REPORTED,|  121| 1036|  597|  169| 1923|12|  108|47|,8|  175| 2098
"",|,|,|,|,|,|,|,|,|,|,|
Percent reported,|93.5|,96.9|,96.7|,,95.6|96.5 |,,100.0|,98.8|,99.0|,95.0|,98.8 |96.7
"",|,|,|,|,|,|,|,|,|,|,|
"",|,|,|,|,|,|,|,|,|,|,|
NOT RPTD,|  229,|  815,|  388,|,79| 1511,|,0|,23|,8|,4|,35| 1546
WELFARE,|  329  10| 20378|  788,7|,94,5| 3248,8 |,,25  16|  289  16|82  10|,,11|  397  14 | 3645,8
OCC EMPLOY,|  2558| 19678|  523,5|,48,3| 2793,7 |,,00|90|51|,,23|161 | 2809,6
MINIMUM STD,| 1509  46|10824  42| 4877  44|  825  48|18035  43 |,,,,,,40  25|  557  30|  310  39|,,44  58|  951  33 |18986  42,
MIDDLE,| 1170  35|10549  41| 4934  44|  738  43|17391  42 |,,,,,,91  57|  943  51|  383  48|,,26  34| 1443  50 |18834  42,
OTHER,|421|  2211|85,1|,15,1|  363,1 |,,53|372|132|,,34|582 |  421,1
RURAL/FARM|32,1|  580,2|  681,6|  303  17| 1596,4 |,,00|,59,3|,47,6|,,13  17|  1194 | 1715,4
RURAL/NFARM|  100,3| 1396,5|  774,7|  1328| 2402,6 |,,31  19|  250  14|,,,74,9|,,79|  362  13 | 2764,6
S.M.S.A| 1160  34| 9189  35| 3822  34|  480  27|14651  35 |,,,,,,20  13|  264  14|  144  18|,,,,,,13  17|  441  15 |15092  33,
URBAN|  806  23| 4969  19| 1962  17|  223  13| 7960  19 |,,,,,,66  41|  670  36|  294  37|,,,,,,17  23| 1047  37 | 9007  20,
SMALL TOWN| 1314  38| 9632  37| 4029  36|  601  34|15576  37 |,,,,,,42  26|  581  32|  231  29|,,,,,,24  32|  878  31 |16454  36,
OTHER|22,1|  150,1|58,1|70|  237,1 |,,11|,14,1|,5,1|,,11|211 |  258,1
------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,
Total reported| 3434 100|25916 100|11326 100| 1746 100|42422 100 |  160 100| 1838 100|  795 100|,,,,,,,,,,,,75 100| 2868 100 |45290 100,
|,|,|,||,|,,|,,|,,|,,||,
Percent reported|97.2|,98.1|,97.7|,97.1|97.9 |,,,99.4|,98.9|,,99.3|,,,93.8|98.9 |97.9,
|,|,|,||,|,,|,,|,,|,,||,
|,|,|,||,|,,|,,|,,|,,||,
NOT RPTD|  100,|  497,|  269,|53|  919,|,,1|,20,|,6,|,,5|32|  951,
LESS THAN GRADE 7|53,2|  504,2|  452,4|  327  19| 1336,3 |,,11|,26,1|,21,3|,,11  14|59,2 | 1395,3
GRADE 7|  101,3|  569,2|  365,3|  1368| 1171,3 |,,85|,49,3|,18,2|,,23|77,3 | 1248,3
GRADE 8|  480  14| 2236,,9| 1005,9|  200  11| 3921,9 |,,20  13|  159,,9|,58,7|,,79|  244,9 | 4165,9
GRADE 9|  913  27| 4127  16| 1429  13|  167  10| 6636  16 |,,,,,,37  23|  248  14|,,,73,9|,,68|  364  13 | 7000  15,,
GRADE 10|  957  28| 5731  22| 1843  16|  172  10| 8703  20 |,,,,,,35  22|  303  17|  103  13|,,,,,,13  17|  454  16 | 9157  20,,
GRADE 11|  703  20| 5286  20| 1547  14|  136,,,8| 7672  18 |,,,30  19|  289  16|  109  14|,,,,,,68|  434  15 | 8106  18,,
GRADE 12|  192,6| 5062  20| 2837  25|  340  19| 8431  20 |,,,,,19  12|  306  17|  169  22|,,,,,,17  22|  511  18 | 8942  20,,
MORE THAN GRADE 12  |38,1| 2437,9| 1869  16|  273  16| 4617  11 |,,,,106|  433  24|  228  29|,,,,,,16  21|  687  24 | 5304  12,,
------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,
Total reported| 3437 100|25952 100|11347 100| 1751 100|42487 100 |  160 100| 1813 100|  779 100|,,,,,,,,,,,,78 100| 2830 100 |45317 100,,
